checked_at,requested_brand,matched_brand,match_mode,search_result_total,matched_products,pages_scanned,top_candidate_brands,status
2026-09-18T17:09:27+09:00,아캄,아캄,exact,0,825,15,아캄:825 | 노스페이스:7 | 락피쉬웨더웨어:2 | 레드윙:1,ok
2026-09-18T01:10:42+09:00,아틀리에나인,아틀리에 나인,normalized,0,1515,27,아틀리에 나인:1515,ok
2026-09-18T06:38:05+09:00,아티스트웨어,아티스트웨어,exact,0,540,12,아티스트웨어:540 | 아티스트웨어 키즈:29 | 이지:13 | 유에프씨 스포츠:12 | 죤:12,ok
2026-09-18T16:31:00+09:00,안다르,안다르,exact,0,489,11,안다르:489 | 안다르 키즈:51 | 람블라:3 | 디모멘트:1,ok
2026-09-17T22:01:12+09:00,알리스,알리스,exact,0,354,12,알리스:354 | 아칸:41 | 노스페이스:28 | 드로잉에이미:10 | 시그나래:10,ok
2026-09-18T14:34:27+09:00,알에스에스씨,알에스에스씨,exact,0,181,5,알에스에스씨:181 | 페이크마마:16,ok
2026-09-18T17:06:45+09:00,애즈온,애즈온,exact,0,287,6,애즈온:287 | 뮈르뮈르:1 | 파보에:1,ok
2026-09-18T09:54:11+09:00,애즈유아,애즈유아,exact,0,316,7,애즈유아:316,ok
2026-09-18T17:02:12+09:00,애프터프레이,애프터프레이,exact,0,378,8,애프터프레이:378 | 하 아카이브:8,ok
2026-09-18T00:33:01+09:00,앤더슨벨,앤더슨벨,exact,0,618,12,앤더슨벨:618,ok
2026-09-18T09:56:03+09:00,앨빈클로,앨빈클로,exact,0,827,15,앨빈클로:827 | 앨빈클로 주니어:47,ok
2026-09-18T03:38:33+09:00,앵글런,앵글런,exact,0,175,4,앵글런:175 | 엔디에이 스튜디오:1,ok
2026-09-18T14:29:15+09:00,어나더아카이브,어나더 아카이브,normalized,0,231,5,어나더 아카이브:231 | 어나더레이어:1,ok
2026-09-17T19:03:46+09:00,어나더오피스,어나더 오피스,normalized,0,419,11,어나더 오피스:419 | 어나더오피스 우먼:155,ok
2026-09-18T01:04:34+09:00,어널러코드,어널러코드,exact,0,78,3,어널러코드:78 | 어널러코드 우먼:14,ok
2026-09-18T00:58:22+09:00,어반드레스,어반드레스,exact,0,1210,22,어반드레스:1210,ok
2026-09-18T14:56:12+09:00,어반디타입,어반디타입,exact,0,110,3,어반디타입:110 | 내셔널지오그래픽:3 | 웍스페디션:1,ok
2026-09-18T00:41:05+09:00,어반스터프,어반스터프,exact,0,136,4,어반스터프:136,ok
2026-09-18T03:41:19+09:00,어반에이지,어반에이지,exact,0,601,12,어반에이지:601,ok
2026-09-18T03:34:42+09:00,어텐션로우,어텐션로우,exact,0,163,5,어텐션로우:163 | 어텐션로우 포 우먼:74,ok
2026-09-18T14:24:29+09:00,어패럴아카이브,어패럴아카이브,exact,0,443,9,어패럴아카이브:443,ok
2026-09-17T21:45:55+09:00,언노운플라넷,언노운 플라넷,normalized,0,595,11,언노운 플라넷:595,ok
2026-09-18T16:45:42+09:00,언더아머,언더아머,exact,0,1448,26,언더아머:1448 | 무신사 런:18,ok
2026-09-18T10:00:13+09:00,언더오프,언더오프,exact,0,856,16,언더오프:856,ok
2026-09-18T09:38:05+09:00,언아웃핏,언아웃핏,exact,0,142,4,언아웃핏:142,ok
2026-09-18T17:10:16+09:00,언타이틀 서울,언타이틀 서울,exact,0,181,5,언타이틀 서울:181,ok
2026-09-18T03:46:52+09:00,언탭트스튜디오,언탭트 스튜디오,normalized,0,437,9,언탭트 스튜디오:437,ok
2026-09-17T21:29:31+09:00,엄브로,엄브로,exact,0,1980,35,엄브로:1980 | 슬리피 존스:1 | 커먼 스웨덴:1 | 플래그스터프:1,ok
2026-09-18T09:41:15+09:00,에스에스와이,에스에스와이,exact,0,243,7,에스에스와이:243 | 로시로우:72 | 폴로 랄프 로렌:7 | 플로트:4 | 미니멀피어싱:1,ok
2026-09-18T17:05:49+09:00,에스이에스티,에스이에스티,exact,0,306,7,에스이에스티:306 | 맨하탄페세지:1,ok
2026-09-18T01:00:51+09:00,에스피오나지,에스피오나지,exact,0,539,10,에스피오나지:539,ok
2026-09-17T22:03:25+09:00,에이이에이이,에이이에이이,exact,0,318,7,에이이에이이:318 | 에이에이에이 하이텐션:1 | 에크멀:1,ok
2026-09-18T06:50:16+09:00,에이지오디,에이지오디,exact,0,258,6,에이지오디:258,ok
2026-09-17T19:02:22+09:00,에이치덱스,에이치덱스,exact,0,971,18,에이치덱스:971 | 유에프씨 스포츠:28,ok
2026-09-18T09:48:27+09:00,에이카화이트,에이카화이트,exact,0,324,7,에이카화이트:324,ok
2026-09-18T09:36:41+09:00,에잇세컨즈,에잇세컨즈,exact,0,2400,40,에잇세컨즈:2400,ok
2026-09-18T09:57:25+09:00,에트오소메,에트오소메,exact,0,481,10,에트오소메:481,ok
2026-09-18T17:22:27+09:00,엑스오엑스,엑스오엑스,exact,0,141,4,엑스오엑스:141 | 스톤헨지:5 | 아리킴:3 | 여섯시십칠분:3 | 제이에스티나:3,ok
2026-09-17T22:09:21+09:00,엑스컨테이너,엑스컨테이너,exact,0,224,5,엑스컨테이너:224,ok
2026-09-18T09:53:01+09:00,엑스톤즈,엑스톤즈,exact,0,223,5,엑스톤즈:223,ok
2026-09-17T22:10:42+09:00,엑스트라오디너리,엑스트라오디너리,exact,0,368,8,엑스트라오디너리:368 | 와이이이엘:2 | 데우스 엑스 마키나:1 | 싹:1,ok
2026-09-18T00:46:57+09:00,엔와이엑스엑스,엔와이엑스엑스,exact,0,521,10,엔와이엑스엑스:521,ok
2026-09-18T03:42:23+09:00,엔조블루스,엔조 블루스,normalized,0,378,8,엔조 블루스:378,ok
2026-09-17T18:33:51+09:00,엘리메노,엘리메노,exact,0,450,10,엘리메노:450 | 엘리메노영스터:147,ok
2026-09-18T10:11:17+09:00,엘무드,엘무드,exact,0,497,14,엘무드:497 | 엘무드 우먼:238,ok
2026-09-17T18:36:29+09:00,엘엑스티,엘엑스티,exact,0,153,4,엘엑스티:153 | 베이직하우스:14,ok
2026-09-17T18:41:21+09:00,엘엠씨,엘엠씨,exact,0,1346,24,엘엠씨:1346 | 푸마:8 | 세인트크루:3 | 토리버치:2,ok
2026-09-18T00:44:10+09:00,엘엠알,엘엠알,exact,0,409,8,엘엠알:409 | 투타임즈유:3 | 러움:2,ok
2026-09-18T16:53:11+09:00,엠블러,엠블러,exact,0,293,7,엠블러:293 | 소렐:7 | 화이트샌즈:1,ok
2026-09-18T03:32:34+09:00,엠엘비,엠엘비,exact,0,934,40,엠엘비 키즈:1252 | 엠엘비:934 | 뉴에라:190 | 스파이더:12 | 백퍼센트:5,ok
2026-09-18T00:43:36+09:00,엠엠엘지,엠엠엘지,exact,0,798,15,엠엠엘지:798 | 엠씨엠:3,ok
2026-09-17T21:44:13+09:00,엠오오,엠오오,exact,0,378,37,엠오오:378 | 마린 세르:186 | 시에라디자인:39 | 어프어프:33 | 아칸:31,ok
2026-09-18T00:50:20+09:00,예스아이씨,예스아이씨,exact,0,886,16,예스아이씨:886 | 아디다스:1 | 우포스:1 | 킨:1,ok
2026-09-18T06:59:08+09:00,오도어,오도어,exact,0,103,4,오도어:103 | 이크닉:5 | 딜라이디:3 | 세이브타임:2 | 에르메스 어메니티:2,ok
2026-09-18T17:08:47+09:00,오드스튜디오,오드스튜디오,exact,0,676,13,오드스튜디오:676,ok
