checked_at,goods_no,product_name,brand_name,purchase_total,page_view_total,normal_price,current_price,sale_rate,review_count,rating,like_count,availability,simple_gmv,product_url
2026-08-25T14:03:55+09:00,# 7024843,,,,,,,,,,,,,https://www.musinsa.com/products/# 7024843
2026-08-25T14:03:55+09:00,# 브랜드 자동검색에서 발견된 상품번호도 이 파일에 자동으로 추가됩니다.,,,,,,,,,,,,,https://www.musinsa.com/products/# 브랜드 자동검색에서 발견된 상품번호도 이 파일에 자동으로 추가됩니다.
2026-08-25T14:03:55+09:00,# 브랜드 자동검색과 별개로 직접 추적할 무신사 상품번호가 있으면 한 줄에 하나씩 입력하세요.,,,,,,,,,,,,,https://www.musinsa.com/products/# 브랜드 자동검색과 별개로 직접 추적할 무신사 상품번호가 있으면 한 줄에 하나씩 입력하세요.
2026-08-25T14:04:55+09:00,6154425,페이드워싱 데님 트러커 하프 셔츠_더스트 인디고,디미트리블랙,2229,6801,50000,30900,38,211,,,InStock,68876100,https://www.musinsa.com/products/6154425
2026-08-25T14:04:55+09:00,6154423,래글런 배색 피그먼트 아트웍 반팔 티셔츠_아이보리&카모,디미트리블랙,270,2003,45700,16900,63,16,,,InStock,4563000,https://www.musinsa.com/products/6154423
2026-08-25T14:04:56+09:00,6110854,[10주년기획] ©모두의 세미 크롭 체크 셔츠_6 COLOR,,3151,5784,299004490033,299004490033,0,,,,,942163148093983,https://www.musinsa.com/products/6110854
2026-08-25T14:04:56+09:00,6110853,,,359,1678,,,,,,,,,https://www.musinsa.com/products/6110853
2026-08-25T14:04:57+09:00,6110852,,,961,20323,,,,,,,,,https://www.musinsa.com/products/6110852
2026-08-25T14:04:57+09:00,6110851,,,219,881,,,,,,,,,https://www.musinsa.com/products/6110851
2026-08-25T14:04:58+09:00,6110850,VLAD 24/7 Brooklyn 베이스볼 셔츠_차콜,디미트리블랙,146,1263,49900,32900,34,19,,,InStock,4803400,https://www.musinsa.com/products/6110850
2026-08-25T14:04:58+09:00,6110848,,,783,2730,,,,,,,,,https://www.musinsa.com/products/6110848
2026-08-25T14:04:59+09:00,6110847,다이애그널 로고 세미 크롭 반팔 티셔츠_4 color,,0,991,269004490040,269004490040,0,,,,,0,https://www.musinsa.com/products/6110847
2026-08-25T14:05:00+09:00,6110845,VLAD 커브드 밴딩 카고 팬츠_블랙,디미트리블랙,9556,42316,56500,33900,40,585,,,InStock,323948400,https://www.musinsa.com/products/6110845
2026-08-25T14:05:00+09:00,6110844,VLAD 커브드 밴딩 카고 팬츠_브라운,디미트리블랙,2346,16854,56500,37900,33,165,,,InStock,88913400,https://www.musinsa.com/products/6110844
2026-08-25T14:05:01+09:00,6110843,VLAD 커브드 밴딩 카고 팬츠_카키,디미트리블랙,3328,23531,56500,37900,33,256,,,InStock,126131200,https://www.musinsa.com/products/6110843
2026-08-25T14:05:01+09:00,6110842,VLAD 워시드 아플리케 볼캡_네이비,디미트리블랙,0,672,43200,28900,33,3,,,InStock,0,https://www.musinsa.com/products/6110842
2026-08-25T14:05:02+09:00,6110841,VLAD 워시드 아플리케 볼캡_차콜,디미트리블랙,0,698,43200,28900,33,6,,,InStock,0,https://www.musinsa.com/products/6110841
2026-08-25T14:05:03+09:00,5982732,[10주년기획] ©모두의 에센셜 런드리 셔츠_5 COLOR,,1013,1695,299004340031,299004340031,0,,,,,302891396451403,https://www.musinsa.com/products/5982732
2026-08-25T14:05:03+09:00,6110840,VLAD 컷오프 아플리케 반팔 티셔츠_빈티지 블루,디미트리블랙,580,4912,46500,26900,42,46,,,InStock,15602000,https://www.musinsa.com/products/6110840
2026-08-25T14:05:04+09:00,5982731,[10주년기획] ©모두의 All-Sunday 원턱 데님 팬츠_4 COLOR,,1259,3396,299005000040,299005000040,0,,,,,376447295050360,https://www.musinsa.com/products/5982731
2026-08-25T14:05:04+09:00,5982730,2WAY 에센셜 체크 후드 윈드브레이커_3 COLOR,디미트리블랙,452,2893,76700,49900,35,28,,,InStock,22554800,https://www.musinsa.com/products/5982730
2026-08-25T14:05:05+09:00,5982727,바라클라바 슬래쉬 후드 집업_윈드브레이커 크림,디미트리블랙,609,3436,76700,49900,35,41,,,InStock,30389100,https://www.musinsa.com/products/5982727
2026-08-25T14:05:05+09:00,5982728,바라클라바 슬래쉬 후드 집업_윈드브레이커 블랙,디미트리블랙,1677,8032,76700,49900,35,128,,,InStock,83682300,https://www.musinsa.com/products/5982728
2026-08-25T14:05:06+09:00,5982725,,,83,783,,,,,,,,,https://www.musinsa.com/products/5982725
2026-08-25T14:05:06+09:00,5982726,바라클라바 슬래쉬 후드 집업_윈드브레이커 그레이,디미트리블랙,794,4350,76700,45900,40,67,,,InStock,36444600,https://www.musinsa.com/products/5982726
2026-08-25T14:05:07+09:00,5982723,VLAD 커브드 트랙 나일론 카고 팬츠_빈티지 네이비,디미트리블랙,456,2543,50000,30900,38,45,,,InStock,14090400,https://www.musinsa.com/products/5982723
2026-08-25T14:05:08+09:00,5982724,VLAD 커브드 트랙 나일론 카고 팬츠_블랙,디미트리블랙,1544,4828,50000,33900,32,109,,,InStock,52341600,https://www.musinsa.com/products/5982724
2026-08-25T14:05:08+09:00,5982722,M65 파라슈트 커브드 팬츠_ NC 블랙,디미트리블랙,8908,63731,56700,25900,54,569,,,InStock,230717200,https://www.musinsa.com/products/5982722
2026-08-25T14:05:08+09:00,5982721,M65 파라슈트 커브드 팬츠_ NC 올리브,디미트리블랙,3347,18357,56700,25900,54,245,,,InStock,86687300,https://www.musinsa.com/products/5982721
2026-08-25T14:05:10+09:00,5982720,2WAY 에센셜 도트 후드 윈드브레이커_블랙,디미트리블랙,314,2630,76700,45900,40,33,,,InStock,14412600,https://www.musinsa.com/products/5982720
2026-08-25T14:05:10+09:00,5982719,2WAY 에센셜 도트 후드 윈드브레이커_브라운,디미트리블랙,84,1509,76700,49900,35,13,,,InStock,4191600,https://www.musinsa.com/products/5982719
2026-08-25T14:05:11+09:00,5945210,[10주년기획] © 모두의 밴딩 커브드 슬랙스_3 COLOR,,20999,62592,329005000034,329005000034,0,,,,,6908775995713966,https://www.musinsa.com/products/5945210
2026-08-25T14:05:11+09:00,5945211,2WAY 에센셜 크롭 해링턴 자켓_4 COLOR,,1675,10035,499006670025,499006670025,0,,,,,835836172291875,https://www.musinsa.com/products/5945211
2026-08-25T14:05:12+09:00,5945209,에센셜 RIBBED 롱슬리브 티셔츠_3 COLOR,디미트리블랙,2092,3354,49900,26900,46,166,,,InStock,56274800,https://www.musinsa.com/products/5945209
2026-08-25T14:05:12+09:00,5945208,VLAD SNATCHED 패치 크롭 후드 집업_피그먼트 차콜,디미트리블랙,203,1067,66700,42900,36,31,,,InStock,8708700,https://www.musinsa.com/products/5945208
2026-08-25T14:05:13+09:00,5945207,VLAD SNATCHED 패치 크롭 후드 집업_멜란지,디미트리블랙,102,1093,66700,43900,34,12,,,InStock,4477800,https://www.musinsa.com/products/5945207
2026-08-25T14:05:13+09:00,5945206,VLAD SNATCHED 패치 크롭 후드 집업_피그먼트 네이비,디미트리블랙,83,1231,66700,46900,30,4,,,InStock,3892700,https://www.musinsa.com/products/5945206
2026-08-25T14:05:14+09:00,5945205,바라클라바 슬래쉬 후드 집업_데님 더스트 인디고,디미트리블랙,393,2341,76700,49900,35,38,,,InStock,19610700,https://www.musinsa.com/products/5945205
2026-08-25T14:05:14+09:00,5945204,바라클라바 슬래쉬 후드 집업_데님 빈티지 블랙,디미트리블랙,221,2033,76700,49900,35,21,,,InStock,11027900,https://www.musinsa.com/products/5945204
2026-08-25T14:05:15+09:00,5945203,래글런 스트라이프 맨투맨_3COLOR,,583,1288,359006000040,359006000040,0,,,,,209300498023320,https://www.musinsa.com/products/5945203
2026-08-25T14:05:15+09:00,5945202,M65 파라슈트 커브드 팬츠_스웻 피그먼트 차콜,디미트리블랙,497,7411,56700,39900,30,27,,,InStock,19830300,https://www.musinsa.com/products/5945202
2026-08-25T14:05:16+09:00,5945201,M65 파라슈트 커브드 팬츠_스웻 멜란지,디미트리블랙,153,5005,56700,30900,46,15,,,InStock,4727700,https://www.musinsa.com/products/5945201
2026-08-25T14:05:16+09:00,5945200,M65 파라슈트 커브드 팬츠_스웻 블랙,디미트리블랙,421,7681,56700,33900,40,32,,,InStock,14271900,https://www.musinsa.com/products/5945200
2026-08-25T14:05:17+09:00,5945199,VTG 워싱 바라클라바 후드 티셔츠_피그먼트 차콜,디미트리블랙,240,1039,61700,35900,42,22,,,InStock,8616000,https://www.musinsa.com/products/5945199
2026-08-25T14:05:17+09:00,5945198,VTG 워싱 바라클라바 후드 티셔츠_멜란지,디미트리블랙,79,837,61700,36900,40,6,,,InStock,2915100,https://www.musinsa.com/products/5945198
2026-08-25T14:05:18+09:00,5899308,[10주년기획] © 모두의 카우하이드 워싱 더비 슈즈,,1139,10766,9990014990033,9990014990033,0,,,,,11378627073647587,https://www.musinsa.com/products/5899308
2026-08-25T14:05:19+09:00,5899307,7s Twill 데일리 커브드 퍼티그 팬츠_4 COLOR,,2274,4556,349005000030,349005000030,0,,,,,793637370068220,https://www.musinsa.com/products/5899307
2026-08-25T14:05:20+09:00,5899306,바라클라바 슬래쉬 후드 집업_스웻 피그먼트 차콜,디미트리블랙,519,2226,76700,46900,39,54,,,InStock,24341100,https://www.musinsa.com/products/5899306
2026-08-25T14:05:20+09:00,5899304,바라클라바 슬래쉬 후드 집업_스웻 브라운,디미트리블랙,409,1904,76700,42900,44,44,,,InStock,17546100,https://www.musinsa.com/products/5899304
2026-08-25T14:05:20+09:00,5899303,바라클라바 슬래쉬 후드 집업_스웻 멜란지,디미트리블랙,210,1544,76700,38900,49,33,,,InStock,8169000,https://www.musinsa.com/products/5899303
