first_seen_at,brand_name,goods_no,product_name,normal_price,current_price,sale_rate
2026-08-27T10:51:26+09:00,프리즘웍스,1315090,CARGO STRING PANTS _ LIGHT GRAY,62000,62000,0
2026-08-27T10:51:26+09:00,노이어,1384439,코튼 오버핏 튜닉 셔츠 (아이보리),108000,48600,55
2026-08-27T10:51:26+09:00,노이어,1384506,수피마 코튼 럭스 티셔츠 (네이비),45000,29200,35
2026-08-27T10:51:26+09:00,노이어,1384510,수피마 코튼 럭스 티셔츠 (화이트),45000,29200,35
2026-08-27T10:51:26+09:00,노이어,1384513,수피마 코튼 럭스 티셔츠 (블랙),45000,29200,35
2026-08-27T10:51:26+09:00,노이어,1385437,[천연소가죽] 레더 키링 벨트 (2CO),52000,46800,10
2026-08-27T10:51:26+09:00,어반드레스,1397522,MARK T-SHIRT - 3COL,38000,14900,61
2026-08-27T10:51:26+09:00,어반드레스,1402730,SPRING OVERSIZED SHIRT BLUE,48000,38400,20
2026-08-27T10:51:26+09:00,어반드레스,1412129,MINI LAUREL T-SHIRT - 5COL,33000,16500,50
2026-08-27T10:51:26+09:00,프리즘웍스,1456116,OG WIDE DENIM PANTS _ LIGHT BLUE,79000,79000,0
2026-08-27T10:51:26+09:00,프리즘웍스,1456117,OG WIDE DENIM PANTS _ INDIGO,69000,69000,0
2026-08-27T10:51:26+09:00,제멋,1456415,에디 오버핏 반팔티셔츠 화이트 KJST2189,31500,21900,30
2026-08-27T10:51:26+09:00,제멋,1456417,에디 오버핏 반팔티셔츠 애쉬블루 KJST2189,31500,21900,30
2026-08-27T10:51:26+09:00,제멋,1456421,에디 오버핏 반팔티셔츠 네이비 KJST2189,31500,21900,30
2026-08-27T10:51:26+09:00,노이어,1498592,시그니처 위빙 키링 (블랙),29000,24600,15
2026-08-27T10:51:26+09:00,어반드레스,1501194,FLEX 7 OVER SIZE TEE - 6COL,34000,22100,35
2026-08-27T10:51:26+09:00,제멋,1557694,오버핏 레이어드 롱티셔츠 크림 KJLT2153,37000,25900,30
2026-08-27T10:51:26+09:00,제멋,1557697,오버핏 레이어드 롱티셔츠 다크베이지 KJLT2153,37000,25900,30
2026-08-27T10:51:26+09:00,제멋,1557698,오버핏 레이어드 롱티셔츠 다크네이비 KJLT2153,37000,25900,30
2026-08-27T10:51:26+09:00,제멋,1557706,엔트 투웨이 후드집업 차콜 KJHD2272,55900,41900,25
2026-08-27T10:51:26+09:00,프리즘웍스,1582136,OG SELVEDGE REGULAR DENIM PANTS _ RIGID INDIGO,89000,89000,0
2026-08-27T10:51:26+09:00,프리즘웍스,1582137,OG SELVEDGE REGULAR DENIM PANTS _ LIGHT BLUE,98000,98000,0
2026-08-27T10:51:26+09:00,제멋,1583924,하이 양기모 후드 집업 다크그레이 HJHD2082,53000,41900,21
2026-08-27T10:51:26+09:00,프리즘웍스,1591652,TWILL BALLOON PANTS _ BLACK,65000,65000,0
2026-08-27T10:51:26+09:00,프리즘웍스,1591653,TWILL BALLOON PANTS _ NAVY,65000,65000,0
2026-08-27T10:51:26+09:00,프리즘웍스,1591654,TWILL BALLOON PANTS _ BEIGE,65000,65000,0
