date,brand_name,goods_no,product_name,estimated_sales,estimated_gmv,estimated_avg_price,display_price,previous_display_price,price_change_detected,price_change_amount,price_change_pct,coverage_pct,calendar_complete,confidence,max_interval_hours,observation_count,contributing_intervals,initial_delta_status,initial_delta_value,history_bucket,product_url
2026-09-01,제멋,361459,TR스판 슬림 밴드슬랙스 블랙 HJLP2019,0.0,0,26900,26900,26900,0,0,0.0,100.0,1,high,24.09,7,2,none,,51,https://www.musinsa.com/products/361459
2026-09-01,제멋,449523,제이 양기모후드 블랙(HJHD2050),0.0,0,36900,36900,36900,0,0,0.0,100.0,1,high,24.09,7,2,none,,51,https://www.musinsa.com/products/449523
2026-09-01,니티드,606067,소프트코튼 드랍숄더 와플 니트 BLACK,0.0,0,34800,34800,34800,0,0,0.0,100.0,1,high,24.09,6,2,none,,51,https://www.musinsa.com/products/606067
2026-09-01,미나브,710323,2PACK 베이직 레이어드 티셔츠,0.0,0,40500,40500,49000,1,-8500,-17.35,100.0,1,medium,24.09,8,2,none,,51,https://www.musinsa.com/products/710323
2026-09-01,프리즘웍스,971507,OG REGULAR DENIM PANTS _ BLACK,0.0,0,62100,62100,69000,1,-6900,-10.0,100.0,1,medium,24.09,7,2,none,,51,https://www.musinsa.com/products/971507
2026-09-01,프리즘웍스,1058099,OG PIGMENT DYEING HALF TEE _ BLUE,0.98,33648,34200,34200,38000,1,-3800,-10.0,100.0,1,medium,24.09,7,2,none,,51,https://www.musinsa.com/products/1058099
2026-09-01,꼼파뇨,1095411,[16수] famous painting 반팔 옐로우그린,0.0,0,18000,18000,18000,0,0,0.0,100.0,1,high,24.09,6,2,none,,51,https://www.musinsa.com/products/1095411
2026-09-01,모즈모즈,1354867,모즈모즈 레터링 오버핏 티셔츠_라임,0.0,0,35900,35900,35900,0,0,0.0,100.0,1,high,24.09,6,2,none,,51,https://www.musinsa.com/products/1354867
2026-09-01,어반드레스,1609651,오버핏 울 체크 셔츠 그레이,0.0,0,24000,24000,24000,0,0,0.0,100.0,1,high,24.09,7,2,none,,51,https://www.musinsa.com/products/1609651
2026-09-01,인사일런스,1616371,히든 버튼 포켓 셔츠 DARK BROWN,0.0,0,41000,41000,36900,1,4100,11.11,100.0,1,medium,24.08,6,2,none,,51,https://www.musinsa.com/products/1616371
2026-09-01,세컨모놀로그,1643827,유틸리티 후드 숏 패딩 점퍼 [BEIGE]_SEJP010BEIGE,0.61,36264,59600,59600,59600,0,0,0.0,100.0,1,high,24.08,6,2,none,,51,https://www.musinsa.com/products/1643827
2026-09-01,아웃스탠딩,1667891,V.S.C HOOD SWEAT(MARYS)_BLACK,0.0,0,80100,80100,80100,0,0,0.0,73.92,0,low,4.26,31,10,none,,51,https://www.musinsa.com/products/1667891
2026-09-01,드로우핏,1786163,하이 벤트 레이어드 티셔츠 [BROWN],0.0,0,23400,23400,23400,0,0,0.0,100.0,1,high,24.09,6,2,none,,51,https://www.musinsa.com/products/1786163
2026-09-01,쿠어,1795635,오버핏 울 가디건 (웜샌드),0.0,0,100000,100000,100000,0,0,0.0,100.0,1,high,24.09,6,2,none,,51,https://www.musinsa.com/products/1795635
2026-09-01,메인부스,1836339,Univ. Logo T-shirt(BLACK),0.0,0,15600,15600,15600,0,0,0.0,100.0,1,high,24.09,6,2,none,,51,https://www.musinsa.com/products/1836339
2026-09-01,프리즘웍스,1861939,OG PIGMENT DYEING HOODY 002 _ BEIGE,0.0,0,80100,80100,89000,1,-8900,-10.0,100.0,1,medium,24.09,7,2,none,,51,https://www.musinsa.com/products/1861939
2026-09-01,모즈모즈,1866035,[SET] 5색상 컬러칩 맨투맨 반바지 쭈리 트레이닝복세트 빅사이즈,0.0,0,45900,45900,45900,0,0,0.0,100.0,1,high,24.09,6,2,none,,51,https://www.musinsa.com/products/1866035
2026-09-01,쿠어,1885299,수피마 코튼 세미오버핏 티셔츠 (블루그레이),0.0,0,34200,34200,34200,0,0,0.0,100.0,1,high,24.09,6,2,none,,51,https://www.musinsa.com/products/1885299
2026-09-01,수아레,1923315,린넨 라이크 퍼티그 밴딩 팬츠,7.07,116652,16500,16500,16500,0,0,0.0,100.0,1,low,9.05,21,6,none,,51,https://www.musinsa.com/products/1923315
2026-09-01,제멋,2085363,헤이즈 오버핏 스웨트셔츠 [쭈리/기모] 블랙 KJMT2369 / KJMT2400,0.0,0,30300,30300,30300,0,0,0.0,100.0,1,high,24.09,7,2,none,,51,https://www.musinsa.com/products/2085363
2026-09-01,인사일런스,2089331,FORTEX 더블 브레스티드 롱 블레이저 CHARCOAL,0.0,0,164400,164400,123300,1,41100,33.33,100.0,1,medium,24.08,6,2,none,,51,https://www.musinsa.com/products/2089331
2026-09-01,노이어,2104115,키드모헤어 오버핏 스웨터 (블랙),0.0,0,87200,87200,87200,0,0,0.0,100.0,1,high,24.09,7,2,none,,51,https://www.musinsa.com/products/2104115
2026-09-01,굿라이프웍스,2184371,마일드 보카시 크루넥 스웨터 오버핏 니트 블랙,0.0,0,37660,37660,37660,0,0,0.0,100.0,1,high,24.09,6,2,none,,51,https://www.musinsa.com/products/2184371
2026-09-01,와르,2270451,C001 스몰 로고 볼캡_레드,0.0,0,14100,14100,14100,0,0,0.0,100.0,1,high,24.08,7,2,none,,51,https://www.musinsa.com/products/2270451
2026-09-01,가까이 유니언즈,2321779,오버핏 니트 가디건 블랙,0.0,0,56700,56700,56700,0,0,0.0,100.0,1,high,24.09,6,2,none,,51,https://www.musinsa.com/products/2321779
2026-09-01,에스피오나지,2343155,Standard Logo Heavyweight Sweatshirt Vintage Black,0.0,0,52480,52480,49200,1,3280,6.67,100.0,1,medium,24.09,7,2,none,,51,https://www.musinsa.com/products/2343155
2026-09-01,프리즘웍스,2347315,NYLON SET-UP TRACK JACKET _ LIGHT GRAY,0.0,0,71600,71600,71600,0,0,0.0,100.0,1,high,24.09,7,2,none,,51,https://www.musinsa.com/products/2347315
2026-09-01,드로우핏,2350515,헨리넥 니트 티셔츠 [CREAM],0.0,0,37800,37800,37800,0,0,0.0,100.0,1,high,24.09,6,2,none,,51,https://www.musinsa.com/products/2350515
