date,brand_name,goods_no,product_name,estimated_sales,estimated_gmv,estimated_avg_price,display_price,previous_display_price,price_change_detected,price_change_amount,price_change_pct,coverage_pct,calendar_complete,confidence,max_interval_hours,observation_count,contributing_intervals,initial_delta_status,initial_delta_value,history_bucket,product_url
2026-09-01,제로,404950,Classic Sweat Pants [Black],0.0,0,35100,35100,35100,0,0,0.0,100.0,1,high,24.09,6,2,none,,22,https://www.musinsa.com/products/404950
2026-09-01,쿠어,668822,MTR 오버핏 더블 롱 코트 (블랙),0.0,0,313200,313200,313200,0,0,0.0,100.0,1,high,24.09,6,2,none,,22,https://www.musinsa.com/products/668822
2026-09-01,필루미네이트,876246,[블랙]B-스테디 하프 폴라넥-아이보리,0.0,0,19000,19000,19000,0,0,0.0,100.0,1,high,24.01,8,2,none,,22,https://www.musinsa.com/products/876246
2026-09-01,카네이테이,1061846,TIGER FLAT POUCH S (BEIGE) / UPCYCLED,0.0,0,29000,29000,33990,1,-4990,-14.68,100.0,1,medium,24.08,7,2,none,,22,https://www.musinsa.com/products/1061846
2026-09-01,트립르센스,1071830,LE PIGMENT WASHING T-SHIRTS DEEP BLUE,0.0,0,19000,19000,19000,0,0,0.0,100.0,1,high,24.01,8,2,none,,22,https://www.musinsa.com/products/1071830
2026-09-01,제멋,1141590,오버핏 레이어드 롱티셔츠 다크그레이 KJLT2153,0.0,0,25900,25900,25900,0,0,0.0,100.0,1,high,24.09,7,2,none,,22,https://www.musinsa.com/products/1141590
2026-09-01,꼼파뇨,1152854,[기모] Geppetto 자수 후드 크림,0.0,0,39600,39600,39600,0,0,0.0,100.0,1,high,24.09,6,2,none,,22,https://www.musinsa.com/products/1152854
2026-09-01,메인부스,1545238,Shooting Star Circle Bag(BLACK),0.0,0,14400,14400,14400,0,0,0.0,100.0,1,high,24.09,6,2,none,,22,https://www.musinsa.com/products/1545238
2026-09-01,프리즘웍스,1811222,OG STRIPE OVERSIZED SHIRT _ PURPLE,0.0,0,61200,61200,68000,1,-6800,-10.0,100.0,1,medium,24.09,7,2,none,,22,https://www.musinsa.com/products/1811222
2026-09-01,소버먼트,1842006,980G 피그먼트 맨투맨-미드나잇 블루-,0.48,27713,57300,57300,57300,0,0,0.0,100.0,1,high,24.01,8,2,none,,22,https://www.musinsa.com/products/1842006
2026-09-01,트립르센스,1962774,엘이 로고 볼캡_NAVY,0.0,0,26250,26250,26250,0,0,0.0,100.0,1,high,24.01,8,2,none,,22,https://www.musinsa.com/products/1962774
2026-09-01,굿라이프웍스,2060694,오버사이즈 옥스포드 원포켓 솔리드 셔츠 민트,0.0,0,19600,19600,19600,0,0,0.0,100.0,1,high,24.09,6,2,none,,22,https://www.musinsa.com/products/2060694
2026-09-01,도프제이슨,2086102,미니멀 스퀘어 하드레더 벨트 (다크브라운),1.45,46860,32300,32300,32300,0,0,0.0,100.0,1,high,24.01,24,4,none,,22,https://www.musinsa.com/products/2086102
2026-09-01,도프제이슨,2086550,카우하이드 비즈니스 토트백,1.05,169278,160550,160550,160550,0,0,0.0,100.0,1,high,24.01,8,2,none,,22,https://www.musinsa.com/products/2086550
2026-09-01,드로우핏,2098326,프리미어 퓨어 캐시미어 발마칸 코트 [CHESTNUT BROWN],0.23,57558,246400,246400,246400,0,0,0.0,100.0,1,high,24.09,6,2,none,,22,https://www.musinsa.com/products/2098326
2026-09-01,시그니처,2124438,원턱 와이드 슬랙스[딥브라운],4.58,150749,32900,32900,32900,0,0,0.0,100.0,1,high,24.09,21,2,none,,22,https://www.musinsa.com/products/2124438
2026-09-01,트립르센스,2154326,[세트]유니섹스 벨벳  플리츠 조거 세트,0.0,0,64000,64000,64000,0,0,0.0,100.0,1,high,24.01,8,2,none,,22,https://www.musinsa.com/products/2154326
2026-09-01,어반드레스,2164950,BLACK TWEED CROPPED JACKET,0.0,0,89250,89250,89250,0,0,0.0,100.0,1,high,24.09,7,2,none,,22,https://www.musinsa.com/products/2164950
2026-09-01,아메스 월드와이드,2194966,BASIC LOGO BEANIE BRICK,0.0,0,18560,18560,23200,1,-4640,-20.0,100.0,1,medium,24.09,6,2,none,,22,https://www.musinsa.com/products/2194966
2026-09-01,플랙,2297046,칸디아니 자켓 051Z 로우,0.0,0,111200,111200,111200,0,0,0.0,100.0,1,high,24.08,6,2,none,,22,https://www.musinsa.com/products/2297046
2026-09-01,쿠어,2353302,빅 포켓 와이드 레그 스웻팬츠 (블랙),0.0,0,108000,108000,108000,0,0,0.0,100.0,1,high,24.09,6,2,none,,22,https://www.musinsa.com/products/2353302
2026-09-01,노이어,2359446,컷 아웃 레이어드 스웨트셔츠 (블랙),0.0,0,55000,55000,49500,1,5500,11.11,100.0,1,medium,24.09,7,2,none,,22,https://www.musinsa.com/products/2359446
2026-09-01,디앤에스알,2377238,딥쓰리턱 트레이닝 (Grey),0.0,0,84000,84000,84000,0,0,0.0,100.0,1,high,24.09,6,2,none,,22,https://www.musinsa.com/products/2377238
2026-09-01,모즈모즈,2379990,스퀘어자수 스트링 나일론 트랙팬츠 블랙,2.43,44659,18360,18360,18360,0,0,0.0,100.0,1,high,24.09,11,2,none,,22,https://www.musinsa.com/products/2379990
2026-09-01,인사일런스,2381846,포버튼 이지 블레이저 ASH BROWN,0.0,0,119400,119400,89550,1,29850,33.33,100.0,1,medium,24.08,6,2,none,,22,https://www.musinsa.com/products/2381846
2026-09-01,프리즘웍스,2387350,OG DOUBLE POPLIN RELAX SHIRT _ DUSKY BLUE,0.0,0,34000,34000,34000,0,0,0.0,100.0,1,high,24.09,7,2,none,,22,https://www.musinsa.com/products/2387350
2026-09-01,넌블랭크,2425366,생지 와이드 핏 팬츠_INDIGO,0.53,27427,52000,52000,52000,0,0,0.0,100.0,1,high,24.01,8,2,none,,22,https://www.musinsa.com/products/2425366
2026-09-01,인사일런스,2431318,수피마 코튼 프리미엄 티셔츠 LIGHT BUTTER,0.0,0,29700,29700,29700,0,0,0.0,100.0,1,high,24.08,6,2,none,,22,https://www.musinsa.com/products/2431318
2026-09-01,링서울,2433238,cable cotton blended knit vest-beige,0.0,0,61970,61970,48200,1,13770,28.57,100.0,1,medium,24.01,8,2,none,,22,https://www.musinsa.com/products/2433238
2026-09-01,메인부스,2435926,Billys Oversized Stripe Shorts(GRAY),0.0,0,27900,27900,27900,0,0,0.0,100.0,1,high,24.09,6,2,none,,22,https://www.musinsa.com/products/2435926
2026-09-01,에이치덱스,2441622,액티브 팬츠,1.76,83122,47200,47200,47200,0,0,0.0,100.0,1,high,24.09,6,2,none,,22,https://www.musinsa.com/products/2441622
2026-09-01,론론,2480470,STRIPE COLLAR HALF T-SHIRT NAVY,0.0,0,34160,34160,34160,0,0,0.0,98.71,0,low,24.09,7,1,none,,22,https://www.musinsa.com/products/2480470
2026-09-01,1993스튜디오,2484438,오리지널 90S 레귤러 티셔츠_네이비,0.39,8589,22000,22000,22000,0,0,0.0,100.0,1,high,24.08,6,2,none,,22,https://www.musinsa.com/products/2484438
2026-09-01,키르시,2490006,두들 체리 베스트 [라이트 그레이],0.0,0,14700,14700,14700,0,0,0.0,100.0,1,high,24.08,6,2,none,,22,https://www.musinsa.com/products/2490006
2026-09-01,모즈모즈,2507670,스웻메이커 36 기능성 땀복 아노락 퍼플,0.0,0,16760,16760,16760,0,0,0.0,100.0,1,high,24.09,6,2,none,,22,https://www.musinsa.com/products/2507670
2026-09-01,파르티멘토,2524694,스톤 워싱 데님 박시 오버핏 하프 셔츠 블루,0.0,0,40300,40300,36270,1,4030,11.11,100.0,1,medium,24.08,6,2,none,,22,https://www.musinsa.com/products/2524694
2026-09-01,론론,2553238,HENRYNECK HALF T SHIRT WHITE,0.0,0,35640,35640,28160,1,7480,26.56,100.0,1,medium,24.09,7,2,none,,22,https://www.musinsa.com/products/2553238
2026-09-01,코드그라피,2565846,CGP 아치 로고 반팔 크루넥_네이비,0.0,0,30800,30800,30800,0,0,0.0,100.0,1,high,24.09,6,2,none,,22,https://www.musinsa.com/products/2565846
2026-09-01,러브이즈트루,2587798,SU LOGO HALTER NECK TOP(BLACK),0.0,0,31170,31170,31170,0,0,0.0,100.0,1,high,24.01,8,2,none,,22,https://www.musinsa.com/products/2587798
2026-09-01,트립르센스,2588502,린넨 데님 투턱 와이드 슬랙스_INDIGO,0.0,0,36000,36000,36000,0,0,0.0,100.0,1,high,24.01,8,2,none,,22,https://www.musinsa.com/products/2588502
2026-09-01,세터,2683542,브루클린 뉴트로 와이드 워시드 데님 팬츠 뉴트로 블랙,0.0,0,159000,159000,159000,0,0,0.0,100.0,1,high,24.09,6,2,none,,22,https://www.musinsa.com/products/2683542
2026-09-01,허그본,2693846,플로우 머슬핏 반팔 5컬러,0.23,5543,23750,23750,23750,0,0,0.0,100.0,1,high,24.09,6,2,none,,22,https://www.musinsa.com/products/2693846
2026-09-01,유니폼브릿지,2711702,selvedge denim pants raw black,0.0,0,87200,87200,87200,0,0,0.0,100.0,1,high,24.08,7,2,none,,22,https://www.musinsa.com/products/2711702
2026-09-01,노이어,2741014,모헤어 부클 보더 스웨터 (아이보리),0.0,0,67500,67500,60700,1,6800,11.2,100.0,1,medium,24.09,7,2,none,,22,https://www.musinsa.com/products/2741014
2026-09-01,모즈모즈,2754774,헤비쭈리기모  투웨이 와이드 트레이닝세트 메란지,0.0,0,79600,79600,79600,0,0,0.0,100.0,1,high,24.09,6,2,none,,22,https://www.musinsa.com/products/2754774
2026-09-01,쿠어,2774678,링구사 케이블 후디드 집업 (블랙),0.0,0,173600,173600,173600,0,0,0.0,100.0,1,high,24.09,6,2,none,,22,https://www.musinsa.com/products/2774678
2026-09-01,드로우핏,2774998,와이드 뉴트럴 컬러 데님 [BROWN],1.0,66419,66600,66600,66600,0,0,0.0,100.0,1,high,24.09,6,2,none,,22,https://www.musinsa.com/products/2774998
2026-09-01,키뮤어,2784662,서플러스 울(WOOL) 세미오버 발마칸 코트_브라운,0.0,0,146300,146300,146300,0,0,0.0,100.0,1,high,24.09,7,2,none,,22,https://www.musinsa.com/products/2784662
2026-09-01,드로우핏,2825494,프리미어 퓨어 울 발마칸 코트 [MELANGE BROWN],0.0,0,246400,246400,246400,0,0,0.0,100.0,1,high,24.09,6,2,none,,22,https://www.musinsa.com/products/2825494
2026-09-01,어반드레스,2836118,Hellen Shirt Layered Check Jacket BLACK,1.0,32283,32400,32400,32400,0,0,0.0,100.0,1,low,24.09,7,2,none,,22,https://www.musinsa.com/products/2836118
2026-09-01,스컬프터,2838358,Rascal Fleece Cargo Pants Multi Yellow,0.0,0,90300,90300,90300,0,0,0.0,100.0,1,high,24.08,7,2,none,,22,https://www.musinsa.com/products/2838358
2026-09-01,낫포너드,2859670,NFND Logo Nylon Varsity Jacket - Navy,0.0,0,74000,74000,74000,0,0,0.0,100.0,1,high,24.09,6,2,none,,22,https://www.musinsa.com/products/2859670
2026-09-01,링서울,2911958,straight slim pants-ivory,0.0,0,98820,98820,76860,1,21960,28.57,100.0,1,medium,24.01,8,2,none,,22,https://www.musinsa.com/products/2911958
2026-09-01,시눈,2932694,PUFFER JACKET (IVORY),0.0,0,268000,268000,268000,0,0,0.0,100.0,1,high,24.09,6,2,none,,22,https://www.musinsa.com/products/2932694
2026-09-01,데케트,2992790,Mid Rise Wide Jeans DCPT027BlueCenter,0.0,0,24800,24800,24800,0,0,0.0,100.0,1,high,24.09,6,2,none,,22,https://www.musinsa.com/products/2992790
2026-09-01,나이스고스트클럽,3010646,DANGER HEART HOODIE_CHARCOAL(NG2DSUM414A),0.0,0,39500,39500,39500,0,0,0.0,100.0,1,high,24.01,8,2,none,,22,https://www.musinsa.com/products/3010646
2026-09-01,코드그라피,3012182,CGP 앳마크 러그 매트_옐로우,0.0,0,34300,34300,34300,0,0,0.0,100.0,1,high,24.09,6,2,none,,22,https://www.musinsa.com/products/3012182
2026-09-01,로제프란츠,3012822,Wide Long Muffler [Blue],0.0,0,26880,26880,23520,1,3360,14.29,100.0,1,medium,24.09,6,2,none,,22,https://www.musinsa.com/products/3012822
2026-09-01,메인부스,3020502,Original Logo Sweatshirt(GRAY),0.0,0,29200,29200,29200,0,0,0.0,100.0,1,high,24.09,6,2,none,,22,https://www.musinsa.com/products/3020502
2026-09-01,키뮤어,3032918,드로잉 플라워 트레이닝 팬츠_멜란지 그레이,0.0,0,34300,34300,34300,0,0,0.0,100.0,1,high,24.09,7,2,none,,22,https://www.musinsa.com/products/3032918
2026-09-01,유니폼브릿지,3033366,smock anorak jacket light beige,0.0,0,48330,48330,48330,0,0,0.0,100.0,1,high,24.08,7,2,none,,22,https://www.musinsa.com/products/3033366
2026-09-01,커버낫,3038358,후디 레이어드 MA-1 자켓 라이트 그레이,0.0,0,118300,118300,118300,0,0,0.0,100.0,1,high,24.08,6,2,none,,22,https://www.musinsa.com/products/3038358
2026-09-01,제멋,3039446,올카 오버핏 스웨트셔츠 9종 차콜 KJMT2463,0.0,0,28900,28900,28900,0,0,0.0,100.0,1,high,24.09,7,2,none,,22,https://www.musinsa.com/products/3039446
2026-09-01,엑스트라오디너리,3050390,KNIT ZIP-UP BLACK,0.0,0,49500,49500,49500,0,0,0.0,100.0,1,high,24.09,6,2,none,,22,https://www.musinsa.com/products/3050390
2026-09-01,아웃스탠딩,3050518,MIL SERIES LONG SLEEVE(74TH FIGHTER SQ)_PIGMENT PINK,0.86,57215,66600,66600,66600,0,0,0.0,100.0,1,high,24.08,7,2,none,,22,https://www.musinsa.com/products/3050518
2026-09-01,스컬프터,3062934,Classic Wind Jacket White,0.0,0,104300,104300,104300,0,0,0.0,100.0,1,high,24.08,7,2,none,,22,https://www.musinsa.com/products/3062934
2026-09-01,프리즘웍스,3081494,OG POPLIN OVERSIZED SHIRT _ CHARCOAL,0.0,0,52200,52200,58000,1,-5800,-10.0,100.0,1,medium,24.09,7,2,none,,22,https://www.musinsa.com/products/3081494
2026-09-01,쿠어,3082774,파티드 플라이트 윈드브레이커 (블랙),0.0,0,168000,168000,168000,0,0,0.0,100.0,1,high,24.09,6,2,none,,22,https://www.musinsa.com/products/3082774
2026-09-01,시눈,3083222,SIDE FRILL MIDI SKIRT (RED),0.0,0,42240,42240,42240,0,0,0.0,100.0,1,high,24.09,6,2,none,,22,https://www.musinsa.com/products/3083222
2026-09-01,모즈모즈,3085654,로럴 반팔 오버핏 맨투맨 백메란지,0.0,0,37300,37300,37300,0,0,0.0,100.0,1,high,24.09,6,2,none,,22,https://www.musinsa.com/products/3085654
2026-09-01,시야쥬,3086422,SIPT7070 Cotton fatigue pants_Ivory,0.0,0,82800,82800,64400,1,18400,28.57,100.0,1,medium,24.08,6,2,none,,22,https://www.musinsa.com/products/3086422
2026-09-01,커버낫,3086678,오버핏 래글런 싱글 코트 카키,0.0,0,119500,119500,119500,0,0,0.0,100.0,1,high,24.08,6,2,none,,22,https://www.musinsa.com/products/3086678
2026-09-01,고스트리퍼블릭,3089814,GRIZZLY 클럽 오버핏 긴팔티 GLT-955,0.0,0,13900,13900,13900,0,0,0.0,100.0,1,high,24.09,6,2,none,,22,https://www.musinsa.com/products/3089814
2026-09-01,디앤에스알,3101270,웨이브 드롭 데님 블랙,0.0,0,119200,119200,119200,0,0,0.0,100.0,1,high,24.09,6,2,none,,22,https://www.musinsa.com/products/3101270
2026-09-01,아틀리에 나인,3106710,유틸 비조 와이드 턱 로우 팬츠(PT-5372),0.0,0,69520,69520,76630,1,-7110,-9.28,100.0,1,medium,24.09,6,2,none,,22,https://www.musinsa.com/products/3106710
2026-09-01,와이케이,3110678,아치 로고 스트라이프 셔츠 블루,0.0,0,39600,39600,39600,0,0,0.0,100.0,1,high,24.01,8,2,none,,22,https://www.musinsa.com/products/3110678
2026-09-01,커버낫,3115862,스트링 토트백 아이보리,0.0,0,36400,36400,36400,0,0,0.0,100.0,1,high,24.08,6,2,none,,22,https://www.musinsa.com/products/3115862
2026-09-01,데케트,3116822,Dawn Semi Wide Jeans DCPT002Ivory,0.0,0,43400,43400,43400,0,0,0.0,100.0,1,high,24.09,6,2,none,,22,https://www.musinsa.com/products/3116822
2026-09-01,스컬프터,3118934,Basic Mesh L/S Tee White,0.0,0,33040,33040,41300,1,-8260,-20.0,100.0,1,medium,24.08,7,2,none,,22,https://www.musinsa.com/products/3118934
2026-09-01,인사일런스,3136598,크래프트 스카시 카디건 IVORY,0.0,0,73200,73200,61000,1,12200,20.0,100.0,1,medium,24.08,6,2,none,,22,https://www.musinsa.com/products/3136598
2026-09-01,드로우핏,3154710,코지드 스트라이프 셔츠 [SKY BLUE],0.47,23060,49500,49500,49500,0,0,0.0,100.0,1,high,24.09,6,2,none,,22,https://www.musinsa.com/products/3154710
2026-09-01,세터,3163734,세터데이 레트로 무드 그래픽 반팔 티셔츠 빈티지 레드,0.0,0,79000,79000,79000,0,0,0.0,100.0,1,high,24.09,6,2,none,,22,https://www.musinsa.com/products/3163734
2026-09-01,엑스트라오디너리,3183638,AIRPOD MAX CASE  BLACK,0.0,0,18000,18000,18000,0,0,0.0,100.0,1,high,24.09,6,2,none,,22,https://www.musinsa.com/products/3183638
2026-09-01,커버낫,3195350,베이직 라운드 하프 니트 민트,0.0,0,31600,31600,31600,0,0,0.0,100.0,1,high,24.08,6,2,none,,22,https://www.musinsa.com/products/3195350
2026-09-01,토피,3201942,내츄럴 린넨 데님 와이드 팬츠 (OFF WHITE),3.71,114583,30870,30900,30500,1,400,1.31,100.0,1,medium,24.08,20,2,none,,22,https://www.musinsa.com/products/3201942
2026-09-01,인사일런스 우먼,3204694,버클 체인 SILVER,0.0,0,53900,53900,53900,0,0,0.0,100.0,1,high,24.09,7,2,none,,22,https://www.musinsa.com/products/3204694
2026-09-01,무센트,3235222,시그니처 볼캡 (진청 데님),2.94,72111,24507,20930,29900,1,-8970,-30.0,100.0,1,medium,24.08,15,4,none,,22,https://www.musinsa.com/products/3235222
2026-09-01,트릴리온,3245014,워셔블 부클 카라 반팔 니트 (CREAM WHITE),0.0,0,33600,33600,33600,0,0,0.0,100.0,1,high,24.09,6,2,none,,22,https://www.musinsa.com/products/3245014
2026-09-01,플랙,3247190,레오 051B 그레이,0.0,0,64900,64900,64900,0,0,0.0,100.0,1,high,24.08,6,2,none,,22,https://www.musinsa.com/products/3247190
2026-09-01,제이엘브,3248278,[2PACK] 루즈핏 숏슬리브,14.54,605024,41600,41600,41600,0,0,0.0,100.0,1,high,10.22,26,6,none,,22,https://www.musinsa.com/products/3248278
2026-09-01,효지,3254294,[여름] 커스터마이징 롱 세미와이드 슬랙스 (4컬러),5.7,170326,29900,29900,29900,0,0,0.0,100.0,1,low,9.86,18,5,none,,22,https://www.musinsa.com/products/3254294
2026-09-01,에스피오나지,3255766,Crest Denim S/S Over Shirt Light Black,0.0,0,65800,65800,65800,0,0,0.0,100.0,1,high,24.09,7,2,none,,22,https://www.musinsa.com/products/3255766
2026-09-01,가까이 유니언즈,3257558,히든 캐치 반팔 티셔츠 화이트,0.0,0,31900,31900,31900,0,0,0.0,100.0,1,high,24.09,6,2,none,,22,https://www.musinsa.com/products/3257558
2026-09-01,파브레가,3262294,피그먼트 버뮤다 하프 팬츠 (인디 핑크),0.0,0,75600,75600,75600,0,0,0.0,100.0,1,high,24.09,6,2,none,,22,https://www.musinsa.com/products/3262294
2026-09-01,도프제이슨,3263062,레더 스트랩 덤플링백,0.0,0,94050,94050,94050,0,0,0.0,100.0,1,high,24.01,8,2,none,,22,https://www.musinsa.com/products/3263062
2026-09-01,도프제이슨,3263126,트래블러 나일론 믹스드 레더 사코슈 PINK,0.0,0,56050,56050,56050,0,0,0.0,100.0,1,high,24.01,8,2,none,,22,https://www.musinsa.com/products/3263126
2026-09-01,밀로아카이브,3269846,리플렉트 커브드 팬츠 [라이트 블루],0.97,63263,65550,65550,62100,1,3450,5.56,100.0,1,medium,24.01,9,2,none,,22,https://www.musinsa.com/products/3269846
2026-09-01,유니온블루,3279894,25mm BASIC LEATHER BELT [SILVER/BLACK],2.41,112667,46671,45360,53000,1,-7640,-14.42,100.0,1,medium,24.01,20,6,none,,22,https://www.musinsa.com/products/3279894
2026-09-01,어반드레스,3290710,프렌치 린넨 라이크 젠틀 오픈 세미 오버핏 셔츠 - 6COL,4.07,80958,19900,19900,19900,0,0,0.0,100.0,1,low,24.0,20,5,none,,22,https://www.musinsa.com/products/3290710
2026-09-01,미나브,3300630,원턱 그리드 버뮤다 데님팬츠 [인디고],0.0,0,39000,39000,47200,1,-8200,-17.37,100.0,1,medium,24.09,8,2,none,,22,https://www.musinsa.com/products/3300630
2026-09-01,웬즈데이오아시스,3302678,[2PACK] UNISEX 에브리데이 나일론 밴딩 반바지(8col),0.73,32814,44660,44660,44660,0,0,0.0,100.0,1,high,24.09,8,2,none,,22,https://www.musinsa.com/products/3302678
2026-09-01,썸웨어버터,3332246,letter knit - light blue,0.0,0,109000,109000,76300,1,32700,42.86,100.0,1,medium,24.01,8,2,none,,22,https://www.musinsa.com/products/3332246
2026-09-01,제멋,3337686,포키 와이드 텐셀 카고팬츠 4종 블랙 YHLP2509,0.0,0,29800,29800,29800,0,0,0.0,100.0,1,high,24.09,7,2,none,,22,https://www.musinsa.com/products/3337686
2026-09-01,솔트앤초콜릿,3343510,SALT 로고 티셔츠 네이비 4W2321003,0.0,0,26880,26880,33600,1,-6720,-20.0,100.0,1,medium,24.08,7,2,none,,22,https://www.musinsa.com/products/3343510
2026-09-01,파르티멘토 우먼,3350934,컬리지 스트라이프 링거 티_네이비,0.0,0,31590,31590,24570,1,7020,28.57,100.0,1,medium,24.09,6,2,none,,22,https://www.musinsa.com/products/3350934
2026-09-01,솔트앤초콜릿,3353238,SAC 스웨트 롱스커트 블랙 4W232Y004,0.0,0,34810,34810,44800,1,-9990,-22.3,100.0,1,medium,24.08,7,2,none,,22,https://www.musinsa.com/products/3353238
2026-09-01,가까이 유니언즈,3355030,원턱 사이드 절개 피그먼트 버뮤다 팬츠 차콜,0.36,12307,34400,34400,34400,0,0,0.0,100.0,1,high,24.09,6,2,none,,22,https://www.musinsa.com/products/3355030
