date,brand_name,goods_no,product_name,estimated_sales,estimated_gmv,estimated_avg_price,display_price,previous_display_price,price_change_detected,price_change_amount,price_change_pct,coverage_pct,calendar_complete,confidence,max_interval_hours,observation_count,contributing_intervals,history_bucket,product_url
2026-08-27,프리즘웍스,424331,EDGAR N-1 DECK JACKET _ NAVY,0.0,0,148000,148000,,0,,,41.94,0,low,19.59,2,1,11,https://www.musinsa.com/products/424331
2026-08-27,유니폼브릿지,956939,1960 slub sweatshirt navy,0.52,46453,89000,89000,,0,,,45.02,0,low,20.7,2,1,11,https://www.musinsa.com/products/956939
2026-08-27,토피,1130699,와이드 데님 팬츠 (IVORY),0.52,18737,35900,35900,,0,,,45.01,0,low,20.7,2,1,11,https://www.musinsa.com/products/1130699
2026-08-27,유니폼브릿지,1920011,one tuck denim shorts indigo,0.52,25572,49000,49000,,0,,,45.01,0,low,20.7,2,1,11,https://www.musinsa.com/products/1920011
2026-08-27,프리즘웍스,1957643,OG POPLIN OVERSIZED SHIRT _ BLUE,0.0,0,58000,58000,,0,,,41.91,0,low,19.59,2,1,11,https://www.musinsa.com/products/1957643
2026-08-27,몰든,2082059,베이직 세미 오버핏 로고 티셔츠,0.49,14504,29700,29700,,0,,,43.75,0,low,21.5,2,1,11,https://www.musinsa.com/products/2082059
2026-08-27,어반드레스,2148171,체커 보드 앙고라 오버핏 니트 블랙,0.0,0,34900,34900,,0,,,41.9,0,low,19.59,2,1,11,https://www.musinsa.com/products/2148171
2026-08-27,어반드레스,2175307,프레드릭 오버핏 울 체크 셔츠,0.0,0,43500,43500,,0,,,41.9,0,low,19.59,2,1,11,https://www.musinsa.com/products/2175307
2026-08-27,어반드레스,2180683,IRON LAUREL OVERSIZED HOODIE BLACK,0.0,0,23700,23700,,0,,,41.9,0,low,19.59,2,1,11,https://www.musinsa.com/products/2180683
2026-08-27,와르,2322315,M160 스트레이트 데님 팬츠_연청 [숏기장 추가],0.0,0,49140,49140,,0,,,45.0,0,low,20.7,2,1,11,https://www.musinsa.com/products/2322315
2026-08-27,프리즘웍스,2387339,OG HEAVYWEIGHT SWEATSHIRT 002 _ NAVY,0.0,0,62000,62000,,0,,,41.89,0,low,19.59,2,1,11,https://www.musinsa.com/products/2387339
2026-08-27,어반드레스,2390923,BACK RIBBON SQUARE Short-sleeve BLOUSE WHITE,0.0,0,26900,26900,,0,,,41.89,0,low,19.59,2,1,11,https://www.musinsa.com/products/2390923
2026-08-27,어반드레스,2489035,솔리드 옥스포드 오버셔츠 - 11 COL,0.0,0,27000,27000,,0,,,41.88,0,low,19.59,2,1,11,https://www.musinsa.com/products/2489035
