date,brand_name,goods_no,product_name,estimated_sales,estimated_gmv,estimated_avg_price,display_price,previous_display_price,price_change_detected,price_change_amount,price_change_pct,coverage_pct,calendar_complete,confidence,max_interval_hours,observation_count,contributing_intervals,history_bucket,product_url
2026-08-27,드로우핏,968414,모더니티 히든 밴딩 슬랙스 [BLACK],0.0,0,62100,62100,,0,,,28.07,0,low,20.2,4,1,30,https://www.musinsa.com/products/968414
2026-08-27,프리즘웍스,1183198,OG CORDUROY SHIRT _ BLACK,0.0,0,78000,78000,,0,,,41.93,0,low,19.59,3,1,30,https://www.musinsa.com/products/1183198
2026-08-27,꼼파뇨,1214814,헤리티지 체크 머플러 챠콜,0.0,0,27950,27950,,0,,,26.48,0,low,20.15,5,1,30,https://www.musinsa.com/products/1214814
2026-08-27,모즈모즈,1354974,스탠다드 특양면 반팔티셔츠_블랙,0.0,0,35900,35900,,0,,,32.96,0,low,20.84,4,1,30,https://www.musinsa.com/products/1354974
2026-08-27,미나브,1443678,큐프라 텐셀 하프 티셔츠 [스카이블루],0.0,0,23100,23100,,0,,,43.75,0,low,21.5,4,1,30,https://www.musinsa.com/products/1443678
2026-08-27,제로,1551838,Deep One Tuck Sweat Pants [Light Khaki],0.76,26640,35100,35100,,0,,,32.95,0,low,20.84,4,1,30,https://www.musinsa.com/products/1551838
2026-08-27,소버먼트,1582366,980G 피그먼트 맨투맨-스톤 네이비-,0.0,0,57300,57300,,0,,,38.27,0,low,21.52,3,1,30,https://www.musinsa.com/products/1582366
2026-08-27,러브이즈트루,1594014,PO HEART NECKLACE(SILVER),0.0,0,23120,23120,,0,,,38.27,0,low,21.52,3,1,30,https://www.musinsa.com/products/1594014
2026-08-27,트립르센스,1596062,[BELT SET] EXCLUSIVE BLACK JACQUARD WIDE SLACKS_BLACK,0.0,0,54500,54500,,0,,,38.27,0,low,21.52,3,1,30,https://www.musinsa.com/products/1596062
2026-08-27,제멋,1615838,텐스 오버핏 터틀넥 티셔츠 블랙 YHLT2309,0.0,0,21900,21900,,0,,,41.92,0,low,19.59,3,1,30,https://www.musinsa.com/products/1615838
2026-08-27,테이크이지,1780638,소프트코튼 브이넥 루즈니트(네이비),0.0,0,27000,27000,,0,,,40.4,0,low,21.04,3,1,30,https://www.musinsa.com/products/1780638
2026-08-27,메인부스,1795230,Univ. Mix Heavy Hoody(1% MELANGE),0.0,0,47400,47400,,0,,,28.05,0,low,20.2,4,1,30,https://www.musinsa.com/products/1795230
2026-08-27,토피,1841246,오버핏 옥스퍼드 셔츠 (BLUE),0.0,0,32900,32900,,0,,,45.01,0,low,20.7,3,1,30,https://www.musinsa.com/products/1841246
2026-08-27,인사일런스,1846302,린넨 포켓 티셔츠 BLACK,0.0,0,33300,33300,,0,,,40.4,0,low,21.04,3,1,30,https://www.musinsa.com/products/1846302
2026-08-27,쿠어,1885214,수피마 코튼 세미오버핏 티셔츠 (웜샌드),0.0,0,34200,34200,,0,,,32.95,0,low,20.84,4,1,30,https://www.musinsa.com/products/1885214
2026-08-27,메인부스,1927582,[MNBTH x Where is Wally] Travel Package(BLUE),0.0,0,24900,24900,,0,,,28.05,0,low,20.2,4,1,30,https://www.musinsa.com/products/1927582
2026-08-27,트립르센스,1962910,스테디 썸머 플리츠 오버 셔츠_그린,0.0,0,59200,59200,,0,,,38.27,0,low,21.52,3,1,30,https://www.musinsa.com/products/1962910
2026-08-27,꼼파뇨,2071326,발리안트 타이거 롱슬리브 화이트,0.0,0,33800,33800,,0,,,26.46,0,low,20.15,5,1,30,https://www.musinsa.com/products/2071326
2026-08-27,슈퍼서브,2074910,시그니처 로고 클래식 긴팔티-화이트,0.0,0,22050,22050,,0,,,28.05,0,low,20.2,4,1,30,https://www.musinsa.com/products/2074910
2026-08-27,제멋,2101662,스콘(F/W용) 와이드 벌룬팬츠 베이지 YHLP2386,0.0,0,39800,39800,,0,,,41.9,0,low,19.59,3,1,30,https://www.musinsa.com/products/2101662
2026-08-27,소버먼트,2105502,980G 피그먼트 스웨트 팬츠-챠콜-,0.0,0,64200,64200,,0,,,38.26,0,low,21.52,3,1,30,https://www.musinsa.com/products/2105502
2026-08-27,넌블랭크,2115742,푸퍼 숏 패딩_LIGHT BROWN,0.0,0,199200,199200,,0,,,38.26,0,low,21.52,3,1,30,https://www.musinsa.com/products/2115742
2026-08-27,시야쥬,2118366,SITP5036 Crop Hood Zip-up_Melange gray,0.0,0,79000,79000,,0,,,40.39,0,low,21.04,3,1,30,https://www.musinsa.com/products/2118366
2026-08-27,나인제트,2147870,슈퍼쮸리 루즈핏 후드티 NFHD1,0.0,0,29900,29900,,0,,,26.46,0,low,20.15,5,1,30,https://www.musinsa.com/products/2147870
2026-08-27,더블유엠씨,2158366,원턱 이지 슬랙스_BLACK,0.0,0,26550,26550,,0,,,38.26,0,low,21.52,3,1,30,https://www.musinsa.com/products/2158366
2026-08-27,링서울,2158814,wool blended classic jacket-brown,0.0,0,136080,136080,,0,,,38.26,0,low,21.52,3,1,30,https://www.musinsa.com/products/2158814
2026-08-27,어반드레스,2164894,SHIRT LAYERD CROPPED KNIT - 6COL,0.0,0,26130,26130,,0,,,41.9,0,low,19.59,3,1,30,https://www.musinsa.com/products/2164894
2026-08-27,굿라이프웍스,2184478,클래식 카라 헨리넥 스웨터 니트 그레이,0.0,0,37660,37660,,0,,,32.95,0,low,20.84,4,1,30,https://www.musinsa.com/products/2184478
2026-08-27,제멋,2332830,와이드 이지 스웨트팬츠 백오트밀 KJLP2179,0.0,0,32900,32900,,0,,,41.9,0,low,19.59,3,1,30,https://www.musinsa.com/products/2332830
2026-08-27,트래블,2340574,고프 후드 윈드 브레이커 블랙,0.0,0,53400,53400,,0,,,43.74,0,low,21.5,4,1,30,https://www.musinsa.com/products/2340574
2026-08-27,에스피오나지,2343198,Ray Yacht Parka Black,0.51,66208,129000,129000,,0,,,41.9,0,low,19.59,3,1,30,https://www.musinsa.com/products/2343198
2026-08-27,소버먼트,2372702,980G 피그먼트 컷 후드-내추럴 아이보리-,0.0,0,68400,68400,,0,,,38.25,0,low,21.52,3,1,30,https://www.musinsa.com/products/2372702
2026-08-27,소버먼트,2374814,950G 솔리드 후드-딥 블랙-,0.0,0,62400,62400,,0,,,38.25,0,low,21.52,3,1,30,https://www.musinsa.com/products/2374814
2026-08-27,유니폼브릿지,2383006,cotton fatigue pants wide fit beige,0.52,32979,63200,63200,,0,,,45.0,0,low,20.7,3,1,30,https://www.musinsa.com/products/2383006
2026-08-27,프리즘웍스,2387358,OG HEAVYWEIGHT HOOD ZIPUP PARKA _ OATMEAL,0.0,0,89000,89000,,0,,,41.89,0,low,19.59,3,1,30,https://www.musinsa.com/products/2387358
2026-08-27,드로우핏,2422238,밴딩 와이드 슬랙스 [BLACK],0.33,16592,49800,49800,,0,,,28.04,0,low,20.2,4,1,30,https://www.musinsa.com/products/2422238
2026-08-27,브랜디드,2422302,604 HARD TWIST DENIM WASHED BLACK JEANS [RELAX STRAIGHT],0.0,0,149000,149000,,0,,,28.03,0,low,20.2,4,1,30,https://www.musinsa.com/products/2422302
2026-08-27,링서울,2433246,cable cotton blended knit vest-ivory,0.0,0,55080,55080,,0,,,38.24,0,low,21.52,3,1,30,https://www.musinsa.com/products/2433246
2026-08-27,엘무드,2454238,테리 데님 셔츠 인디고 블루,0.0,0,59400,59400,,0,,,40.38,0,low,21.04,3,1,30,https://www.musinsa.com/products/2454238
2026-08-27,미나브,2477598,코튼모달 미니멀 와플 하프니트 [스카이블루],0.0,0,44000,44000,,0,,,43.74,0,low,21.5,4,1,30,https://www.musinsa.com/products/2477598
2026-08-27,어반드레스,2479902,BUCKLE WIDE DENIM PANTS CREAM,0.51,17493,34090,34090,,0,,,41.89,0,low,19.59,3,1,30,https://www.musinsa.com/products/2479902
2026-08-27,1993스튜디오,2484510,스튜디오 아치 로고 티셔츠_화이트,0.0,0,35100,35100,,0,,,40.38,0,low,21.04,4,1,30,https://www.musinsa.com/products/2484510
2026-08-27,니티드,2488542,오픈카라 리브드 반팔 니트티 GREEN,0.0,0,34650,34650,,0,,,28.03,0,low,20.2,4,1,30,https://www.musinsa.com/products/2488542
2026-08-27,굿라이프웍스,2503134,린넨 라이크 이지 와이드 데님 팬츠 딥인디고,0.38,13218,34860,34860,,0,,,32.93,0,low,20.84,4,1,30,https://www.musinsa.com/products/2503134
2026-08-27,드로우핏,2510174,포멀릭 리브드 티셔츠 [CREAM],0.0,0,37800,37800,,0,,,28.03,0,low,20.2,4,1,30,https://www.musinsa.com/products/2510174
2026-08-27,시야쥬,2558686,SITP5063 U-neck T-shirt_White,0.0,0,36000,36000,,0,,,40.38,0,low,21.04,3,1,30,https://www.musinsa.com/products/2558686
2026-08-27,어반드레스,2583774,핀턱 데님 하프 팬츠 - 2COL,0.0,0,19600,19600,,0,,,41.88,0,low,19.59,3,1,30,https://www.musinsa.com/products/2583774
2026-08-27,러브이즈트루,2588190,SU 2PACK HEART CROP TEE,0.0,0,55500,55500,,0,,,38.23,0,low,21.53,3,1,30,https://www.musinsa.com/products/2588190
2026-08-27,트립르센스,2591454,팝컬러 실켓 코튼 티셔츠_FOREST GREEN,0.0,0,16500,16500,,0,,,38.23,0,low,21.53,3,1,30,https://www.musinsa.com/products/2591454
2026-08-27,링서울,2592990,supima silket cotton top-beige,0.0,0,32620,32620,,0,,,38.23,0,low,21.52,3,1,30,https://www.musinsa.com/products/2592990
2026-08-27,브랜디드,2599902,608 HARD TWIST DENIM AFTER PARTY JEANS [WIDE STRAIGHT],0.0,0,149000,149000,,0,,,28.03,0,low,20.2,4,1,30,https://www.musinsa.com/products/2599902
2026-08-27,나인제트,2643294,특양면 팬츠 22PT01,0.0,0,21200,21200,,0,,,26.45,0,low,20.15,5,1,30,https://www.musinsa.com/products/2643294
2026-08-27,레더리,2684446,아웃라인 심볼 에코백  [IVORY],0.0,0,10080,10080,,0,,,26.45,0,low,20.15,5,1,30,https://www.musinsa.com/products/2684446
2026-08-27,노매뉴얼,2684510,LOGO COASTER - BEIGE,0.0,0,4200,4200,,0,,,26.45,0,low,20.15,5,1,30,https://www.musinsa.com/products/2684510
2026-08-27,프렌다,2698718,JUVENTUD COMBINATION RAGLAN SWEATSHIRT BLACK,0.0,0,34500,34500,,0,,,43.74,0,low,21.5,4,1,30,https://www.musinsa.com/products/2698718
2026-08-27,프리즘웍스,2720158,DENIM OVERSIZED BDU JACKET _ BLACK,0.0,0,67600,67600,,0,,,41.88,0,low,19.59,3,1,30,https://www.musinsa.com/products/2720158
2026-08-27,미나브,2720862,원턱 카운터 데님팬츠 [브라운],0.0,0,76300,76300,,0,,,43.74,0,low,21.5,4,1,30,https://www.musinsa.com/products/2720862
2026-08-27,어반드레스,2732638,DIAGONAL LONG SLEEVE T-SHIRT - 6COL,1.03,11912,11610,11610,,0,,,41.88,0,low,19.59,3,1,30,https://www.musinsa.com/products/2732638
2026-08-27,프리즘웍스,2736990,HEAVY WOOL ROUND CARDIGAN _ FOREST GREEN,0.0,0,128000,128000,,0,,,41.88,0,low,19.59,3,1,30,https://www.musinsa.com/products/2736990
2026-08-27,룩캐스트,2739230,제이드 레더 벨트 / JADE LEATHER BELT_8colors,0.0,0,43160,43160,,0,,,26.44,0,low,20.15,5,1,30,https://www.musinsa.com/products/2739230
2026-08-27,루에브르,2745310,Sac de Jardin Small FA2SB088-FH,0.0,0,299000,299000,,0,,,43.74,0,low,21.5,4,1,30,https://www.musinsa.com/products/2745310
2026-08-27,모즈모즈,2749278,로럴 기모 조거 스웨트팬츠 메란지,0.0,0,29940,29940,,0,,,32.92,0,low,20.84,4,1,30,https://www.musinsa.com/products/2749278
2026-08-27,시눈,2758430,CHIFFON RUFFLE BLOUSE,0.0,0,40990,40990,,0,,,32.92,0,low,20.84,4,1,30,https://www.musinsa.com/products/2758430
2026-08-27,소버먼트,2768542,950G 솔리드 후드-코코아-,0.0,0,62400,62400,,0,,,38.22,0,low,21.53,3,1,30,https://www.musinsa.com/products/2768542
2026-08-27,시야쥬,2770974,SITP5071 cotton long sleeve T-shirt_Off white,0.0,0,47000,47000,,0,,,40.36,0,low,21.04,3,1,30,https://www.musinsa.com/products/2770974
2026-08-27,1993스튜디오,2782942,빈티지 바시티 자켓_스카이블루,0.0,0,119000,119000,,0,,,40.36,0,low,21.04,3,1,30,https://www.musinsa.com/products/2782942
2026-08-27,링서울,2790686,gold button tweed jacket-ivory,0.0,0,141770,141770,,0,,,38.21,0,low,21.53,3,1,30,https://www.musinsa.com/products/2790686
2026-08-27,허그본,2791390,무지 머슬핏 긴팔 5컬러,1.0,26966,27000,27000,,0,,,28.01,0,low,20.2,8,1,30,https://www.musinsa.com/products/2791390
2026-08-27,노이어,2801182,캐시미어 레이어드 모크넥 가디건 니트 (베이지),0.0,0,88000,88000,,0,,,41.87,0,low,19.59,3,1,30,https://www.musinsa.com/products/2801182
2026-08-27,스컬프터,2838366,No Peeking Turtleneck Melange Gray,0.0,0,31500,31500,,0,,,44.99,0,low,20.7,3,1,30,https://www.musinsa.com/products/2838366
2026-08-27,굿라이프웍스,2851742,오버핏 럭비 스트라이프 니트 와인,0.0,0,43750,43750,,0,,,32.91,0,low,20.84,4,1,30,https://www.musinsa.com/products/2851742
2026-08-27,솔트앤초콜릿,2930270,(셋업) 세미오버핏 울 블레이져 베이지 4W223D301,0.0,0,131600,131600,,0,,,44.98,0,low,20.7,3,1,30,https://www.musinsa.com/products/2930270
2026-08-27,시눈,2932958,RAW EDGE TURTLE NECK (BLACK),0.0,0,20200,20200,,0,,,32.9,0,low,20.84,4,1,30,https://www.musinsa.com/products/2932958
2026-08-27,해비즘,2977694,FLOWER ZIP UP HOOD(BROWN),0.0,0,66500,66500,,0,,,38.2,0,low,21.53,3,1,30,https://www.musinsa.com/products/2977694
2026-08-27,바우프,2995998,B LOGO 볼캡 [올 블랙],1.33,58578,44000,44000,,0,,,28.01,0,low,20.2,7,1,30,https://www.musinsa.com/products/2995998
2026-08-27,커버낫,3038366,레트로 5PL 캡 네이비,0.0,0,29400,29400,,0,,,40.35,0,low,21.04,3,1,30,https://www.musinsa.com/products/3038366
2026-08-27,키르시,3047710,체리 코튼 후드 자켓 [아이보리],0.0,0,75600,75600,,0,,,40.34,0,low,21.04,3,1,30,https://www.musinsa.com/products/3047710
2026-08-27,엑스트라오디너리,3048222,EMBROID INDIGO PANTS  INDIGO,0.0,0,71400,71400,,0,,,26.43,0,low,20.15,5,1,30,https://www.musinsa.com/products/3048222
2026-08-27,와이케이,3064734,말티즈 파일럿 후드티셔츠 아이보리,0.0,0,31600,31600,,0,,,38.19,0,low,21.53,3,1,30,https://www.musinsa.com/products/3064734
2026-08-27,코드그라피,3065054,솔리드 하프집업 조거 팬츠_스카이블루,0.0,0,14710,14710,,0,,,28.0,0,low,20.2,4,1,30,https://www.musinsa.com/products/3065054
2026-08-27,어반드레스,3065182,에나멜 페이크 레더 후드점퍼 블랙,0.0,0,63000,63000,,0,,,41.85,0,low,19.59,3,1,30,https://www.musinsa.com/products/3065182
2026-08-27,꼼파뇨,3072542,파라슈트 와이드 데님 팬츠 블랙,0.0,0,31510,31510,,0,,,26.42,0,low,20.15,5,1,30,https://www.musinsa.com/products/3072542
2026-08-27,몰든,3078238,액티브 브라탑,0.0,0,38200,38200,,0,,,43.73,0,low,21.5,4,1,30,https://www.musinsa.com/products/3078238
2026-08-27,더블유엠씨,3088030,딥플리츠 나일론 팬츠 (3color),0.43,11445,26880,26880,,0,,,38.19,0,low,21.53,3,1,30,https://www.musinsa.com/products/3088030
2026-08-27,디앤에스알,3088286,그라데이션 니트,0.0,0,97000,97000,,0,,,32.88,0,low,20.84,4,1,30,https://www.musinsa.com/products/3088286
2026-08-27,커버낫,3097310,원픽 로우 핑크,0.0,0,44500,44500,,0,,,40.33,0,low,21.04,3,1,30,https://www.musinsa.com/products/3097310
2026-08-27,커버낫,3097438,PERTEX 코치 자켓 네이비,0.0,0,79500,79500,,0,,,40.33,0,low,21.04,2,1,30,https://www.musinsa.com/products/3097438
2026-08-27,아틀리에 나인,3100894,레이 셋업 플리츠 스커트(SK-4755),0.0,0,39500,39500,,0,,,32.88,0,low,20.84,4,1,30,https://www.musinsa.com/products/3100894
2026-08-27,파르티멘토 우먼,3111774,더블 니 진_워시드 베이지,0.0,0,95970,95970,,0,,,26.42,0,low,20.15,5,1,30,https://www.musinsa.com/products/3111774
2026-08-27,스컬프터,3118942,Symbol Logo Mesh Shorts Poppy,0.0,0,41300,41300,,0,,,44.97,0,low,20.7,3,1,30,https://www.musinsa.com/products/3118942
2026-08-27,루에브르,3119326,Wide Collar Trench Coat SW3SR101-03,0.0,0,299000,299000,,0,,,43.73,0,low,21.5,4,1,30,https://www.musinsa.com/products/3119326
2026-08-27,메인부스,3120606,Candle Shop T-Shirt(BLACK),0.0,0,12900,12900,,0,,,27.99,0,low,20.2,4,1,30,https://www.musinsa.com/products/3120606
2026-08-27,키르시,3157470,스몰 체리 플레어 피케 드레스 [퍼플],0.0,0,17700,17700,,0,,,40.32,0,low,21.04,3,1,30,https://www.musinsa.com/products/3157470
2026-08-27,나인제트,3167262,소프트 쮸리 스웻 팬츠 23SPT06,0.0,0,45000,45000,,0,,,26.42,0,low,20.15,5,1,30,https://www.musinsa.com/products/3167262
2026-08-27,더블유엠씨,3167454,일루젼 로고 티셔츠_WHITE,0.0,0,17200,17200,,0,,,38.18,0,low,21.53,3,1,30,https://www.musinsa.com/products/3167454
2026-08-27,러브이즈트루,3178974,VS SLAY TEE(GRAY),0.0,0,25350,25350,,0,,,38.18,0,low,21.53,3,1,30,https://www.musinsa.com/products/3178974
2026-08-27,엑스트라오디너리,3185758,EX TECHNICAL PANTS  OLIVE,0.0,0,90350,90350,,0,,,26.42,0,low,20.15,5,1,30,https://www.musinsa.com/products/3185758
2026-08-27,어반드레스,3187870,This is wide pants nonfade IVORY,0.0,0,39000,39000,,0,,,41.84,0,low,19.59,3,1,30,https://www.musinsa.com/products/3187870
2026-08-27,노티카,3205726,83플래그 로고 티셔츠(화이트) NTS4786WHZ,0.76,27253,36000,36000,,0,,,32.87,0,low,20.84,7,1,30,https://www.musinsa.com/products/3205726
2026-08-27,브렌슨,3223006,( 2PACK ) 퓨어코튼 루즈핏 체인 반팔티,0.92,18298,19900,19900,,0,,,40.31,0,low,21.04,4,1,30,https://www.musinsa.com/products/3223006
2026-08-27,어반드레스,3224030,AV rounding shirt - 3COL,0.0,0,22400,22400,,0,,,41.83,0,low,19.59,3,1,30,https://www.musinsa.com/products/3224030
2026-08-27,레더리,3224926,LR 로고 크롭 반팔 티셔츠 [WHITE],0.0,0,22400,22400,,0,,,26.41,0,low,20.15,5,1,30,https://www.musinsa.com/products/3224926
2026-08-27,어반드레스,3225566,vivid-moon terry croptop - 6COL,0.0,0,7580,7580,,0,,,41.83,0,low,19.59,3,1,30,https://www.musinsa.com/products/3225566
2026-08-27,미나브,3240542,버디 와이드 카고 데님팬츠 [미드블루],0.0,0,71200,71200,,0,,,43.72,0,low,21.5,4,1,30,https://www.musinsa.com/products/3240542
2026-08-27,아틀리에 나인,3250014,린넨 슬림 와이드 팬츠(PT-5392),0.0,0,44500,44500,,0,,,32.87,0,low,20.84,4,1,30,https://www.musinsa.com/products/3250014
2026-08-27,키르시,3250142,컬렉션 리워크 그래픽 티셔츠 [멜란지 그레이],0.0,0,29500,29500,,0,,,40.3,0,low,21.04,3,1,30,https://www.musinsa.com/products/3250142
2026-08-27,틸아이다이,3250334,Cotton stripe T-shirt[2color],0.52,17949,34430,34430,,0,,,44.96,0,low,20.7,3,1,30,https://www.musinsa.com/products/3250334
2026-08-27,에이이에이이,3263326,WEB LOGO TWO TONE BALL CAP - [WHITE/BLUE],0.0,0,41900,41900,,0,,,26.41,0,low,20.15,5,1,30,https://www.musinsa.com/products/3263326
2026-08-27,르바,3269278,Multi-Jacquard Knit Vest - Dusty blue,0.0,0,106500,106500,,0,,,27.97,0,low,20.2,4,1,30,https://www.musinsa.com/products/3269278
2026-08-27,와이케이,3273374,Dog is love 투톤 볼캡 네이비,0.0,0,22050,22050,,0,,,38.17,0,low,21.53,3,1,30,https://www.musinsa.com/products/3273374
2026-08-27,링서울,3277918,roll-up blouse-light pink,0.43,25581,60120,60120,,0,,,38.17,0,low,21.53,3,1,30,https://www.musinsa.com/products/3277918
2026-08-27,프리즘웍스,3283550,OG ATHLETIC T-SHIRT 2PACK _ WHITE + GRAY,0.0,0,42000,42000,,0,,,41.83,0,low,19.59,2,1,30,https://www.musinsa.com/products/3283550
2026-08-27,엑스트라오디너리,3286046,B.S.C I-RING Pocket Mag  WHITE,0.0,0,21600,21600,,0,,,26.4,0,low,20.15,5,1,30,https://www.musinsa.com/products/3286046
2026-08-27,노이어,3288862,리브드 모크넥 하프 티셔츠 (화이트),0.0,0,62000,62000,,0,,,41.82,0,low,19.59,3,1,30,https://www.musinsa.com/products/3288862
2026-08-27,제멋,3289758,피넛 와이드 워싱팬츠 5종 카멜베이지 YHLP2470,0.0,0,48900,48900,,0,,,41.82,0,low,19.59,3,1,30,https://www.musinsa.com/products/3289758
2026-08-27,디앤에스알,3296606,멀티 다트 벌룬 데님 팬츠 블루,0.0,0,139200,139200,,0,,,32.86,0,low,20.84,4,1,30,https://www.musinsa.com/products/3296606
2026-08-27,미나브,3300638,밴딩 린넨 데님팬츠 [라이트블루],0.0,0,63200,63200,,0,,,43.72,0,low,21.5,4,1,30,https://www.musinsa.com/products/3300638
2026-08-27,에이치덱스,3302686,베이스 액티브 팬츠,0.0,0,59000,59000,,0,,,27.96,0,low,20.2,4,1,30,https://www.musinsa.com/products/3302686
2026-08-27,드로우핏,3305118,키높이 하프 인솔 [3PACK],0.0,0,14850,14850,,0,,,27.96,0,low,20.2,4,1,30,https://www.musinsa.com/products/3305118
2026-08-27,레더리,3312542,[레더리X오정규] 미니멀 스퀘어 크로스백,0.0,0,47360,47360,,0,,,26.4,0,low,20.15,5,1,30,https://www.musinsa.com/products/3312542
2026-08-27,레더리,3312606,[레더리X오정규] 토루프 모던 샌들 슬라이드,0.0,0,59200,59200,,0,,,26.4,0,low,20.15,5,1,30,https://www.musinsa.com/products/3312606
2026-08-27,아틀리에 나인,3316702,그레타 프론트 오픈 집업 원피스(OP-6035),0.0,0,83400,83400,,0,,,32.86,0,low,20.84,4,1,30,https://www.musinsa.com/products/3316702
2026-08-27,니티드,3331806,오픈카라 크로쉐 하프 니트티 BLACK,0.0,0,59800,59800,,0,,,27.96,0,low,20.2,4,1,30,https://www.musinsa.com/products/3331806
2026-08-27,솔트앤초콜릿,3353118,스트라이프 슬리브리스 립 니트 화이트 4W2321006,0.0,0,15790,15790,,0,,,44.95,0,low,20.7,3,1,30,https://www.musinsa.com/products/3353118
2026-08-27,트립르센스,3357342,CN 사이드 핀턱 커브드 팬츠_카키,0.0,0,60000,60000,,0,,,38.16,0,low,21.53,3,1,30,https://www.musinsa.com/products/3357342
2026-08-27,러브이즈트루,3373918,BE LAYERED BEACH PIN(BLUE),0.0,0,12600,12600,,0,,,38.15,0,low,21.53,3,1,30,https://www.musinsa.com/products/3373918
2026-08-27,러브이즈트루,3374558,BE LOGO LEGGINGS(CHARCOAL),0.0,0,39050,39050,,0,,,38.15,0,low,21.53,3,1,30,https://www.musinsa.com/products/3374558
