date,slot,goods_no,brand_name,product_name,first_failed_at,last_failed_at,attempts,last_error,current_price,product_url
2026-09-23,1,7319171,어반에이지,베이직 원턱 와이드 팬츠_멜란지그레이,2026-09-23T04:56:33+09:00,2026-09-23T04:56:33+09:00,1,missing shard artifact/result,60000,https://www.musinsa.com/products/7319171
2026-09-23,1,7319176,어반에이지,베이직 원턱 와이드 팬츠_블랙,2026-09-23T04:56:33+09:00,2026-09-23T04:56:33+09:00,1,missing shard artifact/result,60000,https://www.musinsa.com/products/7319176
2026-09-23,1,7319227,어반에이지,벌룬핏 버튼 핀턱 와이드 팬츠_멜란지크림,2026-09-23T04:56:33+09:00,2026-09-23T04:56:33+09:00,1,missing shard artifact/result,65000,https://www.musinsa.com/products/7319227
2026-09-23,1,7319243,어반에이지,FLOW UBNA 오버핏 기모 후드_차콜,2026-09-23T04:56:33+09:00,2026-09-23T04:56:33+09:00,1,missing shard artifact/result,68000,https://www.musinsa.com/products/7319243
2026-09-23,1,7319245,어반에이지,FLOW UBNA 오버핏 기모 후드_버건디,2026-09-23T04:56:33+09:00,2026-09-23T04:56:33+09:00,1,missing shard artifact/result,68000,https://www.musinsa.com/products/7319245
2026-09-23,1,7319249,어반에이지,FLOW UBNA 오버핏 기모 후드_블랙,2026-09-23T04:56:33+09:00,2026-09-23T04:56:33+09:00,1,missing shard artifact/result,68000,https://www.musinsa.com/products/7319249
2026-09-23,1,7319259,어반에이지,에센셜 써클 오버핏 기모 후드_차콜,2026-09-23T04:56:33+09:00,2026-09-23T04:56:33+09:00,1,missing shard artifact/result,68000,https://www.musinsa.com/products/7319259
2026-09-23,1,7319262,어반에이지,에센셜 써클 오버핏 기모 후드_멜란지그레이,2026-09-23T04:56:33+09:00,2026-09-23T04:56:33+09:00,1,missing shard artifact/result,68000,https://www.musinsa.com/products/7319262
2026-09-23,1,7319265,어반에이지,에센셜 써클 오버핏 기모 후드_블랙,2026-09-23T04:56:33+09:00,2026-09-23T04:56:33+09:00,1,missing shard artifact/result,68000,https://www.musinsa.com/products/7319265
2026-09-23,1,7319284,어반에이지,패치 아플리케 오버핏 기모 후드_네이비,2026-09-23T04:56:33+09:00,2026-09-23T04:56:33+09:00,1,missing shard artifact/result,78000,https://www.musinsa.com/products/7319284
2026-09-23,1,7319286,어반에이지,패치 아플리케 오버핏 기모 후드_그린,2026-09-23T04:56:33+09:00,2026-09-23T04:56:33+09:00,1,missing shard artifact/result,78000,https://www.musinsa.com/products/7319286
2026-09-23,1,7319289,어반에이지,패치 아플리케 오버핏 기모 후드_버건디,2026-09-23T04:56:33+09:00,2026-09-23T04:56:33+09:00,1,missing shard artifact/result,78000,https://www.musinsa.com/products/7319289
2026-09-23,1,7319293,어반에이지,패치 아플리케 오버핏 기모 후드_차콜,2026-09-23T04:56:33+09:00,2026-09-23T04:56:33+09:00,1,missing shard artifact/result,78000,https://www.musinsa.com/products/7319293
2026-09-23,1,7319298,어반에이지,패치 아플리케 오버핏 기모 후드_블랙,2026-09-23T04:56:33+09:00,2026-09-23T04:56:33+09:00,1,missing shard artifact/result,78000,https://www.musinsa.com/products/7319298
2026-09-23,1,7319300,어반에이지,와일드 로고 오버핏 기모 후드_네이비,2026-09-23T04:56:33+09:00,2026-09-23T04:56:33+09:00,1,missing shard artifact/result,68000,https://www.musinsa.com/products/7319300
2026-09-23,1,7319307,어반에이지,와일드 로고 오버핏 기모 후드_멜란지그레이,2026-09-23T04:56:33+09:00,2026-09-23T04:56:33+09:00,1,missing shard artifact/result,68000,https://www.musinsa.com/products/7319307
2026-09-23,1,7319310,어반에이지,와일드 로고 오버핏 기모 후드_버건디,2026-09-23T04:56:33+09:00,2026-09-23T04:56:33+09:00,1,missing shard artifact/result,68000,https://www.musinsa.com/products/7319310
2026-09-23,1,7319312,어반에이지,와일드 로고 오버핏 기모 후드_블랙,2026-09-23T04:56:33+09:00,2026-09-23T04:56:33+09:00,1,missing shard artifact/result,68000,https://www.musinsa.com/products/7319312
